Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
2,,,http://www.paulaaboud.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=119&legislature=49,"-Appropriations
-Education Accountability and Reform
-Healthcare and Medical Liability Reform
-Appropriations Subcommittee on Education and Natural Resources
",paboud@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",314,(602) 926-5262,Sen.,(602) 926-3429,,District 28,"-Appropriations
-Education Accountability and Reform
-Healthcare and Medical Liability Reform
-Appropriations Subcommittee on Education and Natural Resources
",,,D,Arizona Senate,,,,none listed,,,y,Paula Aboud.jpg,Paula,Aboud
3,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=115&Legislature=49&Session_ID=87,"-Appropriations
-Healthcare and Medical Liability Reform
-National Resources, Infrastructure and Public Debt
-Appropriations Subcommittee on Transportation and Criminal Justice ",aaguirre@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",314,(602) 926-4139,Sen.,(602) 417-3184,,District 24,"-Appropriations
-Healthcare and Medical Liability Reform
-National Resources, Infrastructure and Public Debt
-Appropriations Subcommittee on Transportation and Criminal Justice ",,,R,Arizona Senate,,,,none listed,,,y,Amanda Aguirre.jpg,Amanda,Aguirre
4,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=100&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Healthcare and Medical Liability Reform
-Veterans and Military Affairs",callen@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",303,(602) 926-4480,Sen.,(602) 417-3155,,District 8,"-Commerce and Economic Development
-Healthcare and Medical Liability Reform
-Veterans and Military Affairs",,,R,Arizona Senate,,,,none listed,,,y,Carolyn S. Allen.jpg,Carolyn S.,Allen
5,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=124&Legislature=49&Session_ID=87,"-Appropriations
-Education Accountability and Reform
-National Resources, Infrastructure and Public Debt
-Retirement and Rural Development
-Appropriations Subcommittee on Health and Welfare",sallen@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",307,(602) 926-5219,Sen.,(602) 417-3005,,District 5,"-Appropriations
-Education Accountability and Reform
-National Resources, Infrastructure and Public Debt
-Retirement and Rural Development
-Appropriations Subcommittee on Health and Welfare",,,D,Arizona Senate,,,,none listed,,,y,Sylvia Allen.jpg,Sylvia,Allen
6,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=116&Legislature=49&Session_ID=87,"-Government Institutions
-Public Safety and Human Services
-Veterans and Military Affairs",malvarez@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",311,(602) 926-5895,President,(602) 417-3025,,District 25,"-Government Institutions
-Public Safety and Human Services
-Veterans and Military Affairs",,,R,Arizona Senate,,,,none listed,,,y,Manuel V. Alvarez.jpg,Manuel V.,Alvarez
7,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=101&Legislature=49&Session_ID=87,-Rules,rburns@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",204,(602) 926-5993,Sen.,(602) 417-3225,,District 9,-Rules,,,D,Arizona Senate,,,,none listed,,,y,Robert Burns.jpg,Robert,Burns
8,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=108&Legislature=49&Session_ID=87,"-Government Institutions
-Judiciary
-Veterans and Military Affairs",mburtoncahill@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",313,(602) 926-4124,Sen.,(602) 417-3245,,District 17,"-Government Institutions
-Judiciary
-Veterans and Military Affairs",,,D,Arizona Senate,,,,twitter.com/cheuv,,,y,Meg Burton Cahill.jpg,Meg Burton,Cahill
9,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=107&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Finance
-Judiciary",kcheuvront@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",315,(602) 926-5325,Minority Leader,(602) 417-3149,,District 15,"-Commerce and Economic Development
-Finance
-Judiciary",,,D,Arizona Senate,,,,none listed,,,y,Ken Cheuvront.jpg,Ken,Cheuvront
10,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=118&Legislature=49&Session_ID=87,"-Government Institutions
-Rules",jgarcia@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",213,(602) 926-4171,Sen.,(602) 417-3262,,District 27,"-Government Institutions
-Rules",,,R,Arizona Senate,,,,twitter.com/pamelagorman,,,y,Jorge Luis Garcia.jpg,Jorge Luis,Garcia
11,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=98&Legislature=49&Session_ID=87,"-Appropriations
-National Resources, Infrastructure and Public Debt
-Rules
-Appropriations Subcommittee on Education and Natural Resources",pgorman@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",304,(602) 926-5284,Sen.,(602) 417-3106,,District 6,"-Appropriations
-National Resources, Infrastructure and Public Debt
-Rules
-Appropriations Subcommittee on Education and Natural Resources",,,R,Arizona Senate,,,,twitter.com/SenatorRonGould,,,y,Pamela Gorman.jpg,Pamela,Gorman
12,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=96&Legislature=49&Session_ID=87,"-Appropriations
-Finance
-Retirement and Rural Development
-Appropriations Subcommittee on Health and Welfare",rgould@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",303,(602) 926-4138,Majority Leader,(602) 417-3165,,District 3,"-Appropriations
-Finance
-Retirement and Rural Development
-Appropriations Subcommittee on Health and Welfare",,,R,Arizona Senate,,,,twitter.com/chuck_gray,,,y,Ron Gould.jpg,Ron,Gould
13,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=110&Legislature=49&Session_ID=87,"-Government Institutions
-Judiciary
-Rules",cgray@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",212,(602) 926-5288,Sen.,(602) 417-3161,,District 19,"-Government Institutions
-Judiciary
-Rules",,,R,Arizona Senate,,,,none listed,,,y,Chuck Gray.jpg,Chuck,Gray
